title,type,netflix_original
Wet Hot American Summer: First Day of Camp,TV Show,True
Master of None,TV Show,True
W/ Bob & David,TV Show,True
Real Rob,TV Show,True
Love,TV Show,True
Flaked,TV Show,True
Netflix Presents: The Characters,TV Show,True
The Ranch,TV Show,True
Lady Dynamite,TV Show,True
Easy,TV Show,True
Trailer Park Boys Out of the Park: Europe,TV Show,True
Santa Clarita Diet,TV Show,True
Girlboss,TV Show,True
Dear White People,TV Show,True
GLOW,TV Show,True
Friends from College,TV Show,True
Wet Hot American Summer: Ten Years Later,TV Show,True
Atypical,TV Show,True
Disjointed,TV Show,True
American Vandal,TV Show,True
She's Gotta Have It,TV Show,True
Trailer Park Boys Out of the Park: USA,TV Show,True
Everything Sucks!,TV Show,True
On My Block,TV Show,True
Insatiable,TV Show,True
Maniac,TV Show,True
The Good Cop,TV Show,True
The Kominsky Method,TV Show,True
Sex Education,TV Show,True
Russian Doll,TV Show,True
After Life,TV Show,True
Turn Up Charlie,TV Show,True
Huge in France,TV Show,True
Special,TV Show,True
Lunatics,TV Show,True
Bonding,TV Show,True
Dead to Me,TV Show,True
It's Bruno!,TV Show,True
Mr. Iglesias,TV Show,True
The Politician,TV Show,True
Living with Yourself,TV Show,True
Daybreak,TV Show,True
Merry Happy Whatever,TV Show,True
Astronomy Club: The Sketch Show,TV Show,True
AJ and the Queen,TV Show,True
Medical Police,TV Show,True
Gentefied,TV Show,True
I Am Not Okay with This,TV Show,True
The Iliza Shlesinger Sketch Show,TV Show,True
Brews Brothers,TV Show,True
#blackAF,TV Show,True
Never Have I Ever,TV Show,True
Space Force,TV Show,True
Teenage Bounty Hunters,TV Show,True
The Duchess,TV Show,True
Sneakerheads,TV Show,True
Aunty Donna's Big Ol' House of Fun,TV Show,True
How to Ruin Christmas,TV Show,True
The Crew,TV Show,True
The Chair,TV Show,True
Pretty Smart,TV Show,True
Decoupled,TV Show,True
The Woman in the House Across the Street from the Girl in the Window,TV Show,True
Murderville,TV Show,True
Eternally Confused and Eager for Love,TV Show,True
Hard Cell,TV Show,True
The Pentaverate,TV Show,True
God's Favorite Idiot,TV Show,True
"Boo, Bitch",TV Show,True
Uncoupled,TV Show,True
Chad and JT Go Deep,TV Show,True
Blockbuster,TV Show,True
Freeridge,TV Show,True
Wellmania,TV Show,True
Richie Rich,TV Show,True
Project Mc2,TV Show,True
Fuller House,TV Show,True
Haters Back Off,TV Show,True
One Day at a Time,TV Show,True
A Series of Unfortunate Events,TV Show,True
Julie's Greenroom,TV Show,True
Free Rein,TV Show,True
Greenhouse Academy,TV Show,True
Alexa & Katie,TV Show,True
Lost in Space,TV Show,True
The Who Was? Show,TV Show,True
All About the Washingtons,TV Show,True
The Ponysitters Club,TV Show,True
Best.Worst.Weekend.Ever.,TV Show,True
Brainchild,TV Show,True
Prince of Peoria,TV Show,True
No Good Nick,TV Show,True
Malibu Rescue: The Series,TV Show,True
Family Reunion,TV Show,True
The Dark Crystal: Age of Resistance,TV Show,True
Team Kaylie,TV Show,True
Raising Dion,TV Show,True
Dolly Parton's Heartstrings,TV Show,True
The Healing Powers of Dude,TV Show,True
Ashley Garcia: Genius in Love,TV Show,True
The Letter for the King,TV Show,True
The Big Show Show,TV Show,True
The Baby-Sitters Club,TV Show,True
Emily's Wonder Lab,TV Show,True
Bookmarks,TV Show,True
Julie and the Phantoms,TV Show,True
Izzy's Koala World,TV Show,True
Selena: The Series,TV Show,True
Zero Chill,TV Show,True
Waffles + Mochi,TV Show,True
Country Comfort,TV Show,True
Dad Stop Embarrassing Me!,TV Show,True
Scaredy Cats,TV Show,True
Super PupZ,TV Show,True
The Last Bus,TV Show,True
